ward,Total Population,"Not Hispanic or Latino Origin, Whites","Not Hispanic or Latino Origin, Blacks","Not Hispanic or Latino Origin, Asians",Hispanic or Latino Origin,Aggregate household income in the past 12 months,Total households,mean household income,number of tracts
12,57991,4554,5837,4323,42836,694086640,14877,46654,14.536302643545763
16,50481,875,30171,171,18716,570030080,14802,38509,21.3106809947584
15,37149,1677,7582,763,26871,469160597,10210,45950,13.142528549221149
20,50501,2853,38012,797,7863,552230452,15455,35729,23.709140629708145
49,52056,21226,14422,3390,11214,1152138264,20857,55239,11.477843847010124
23,57143,15445,1179,572,39667,556326358,17063,32603,13.754417935621023
29,58718,8191,37355,613,11933,1114774951,20316,54870,12.535182823923698
14,58036,7447,729,1429,48278,857493696,15759,54410,13.658790538613559
3,40907,5893,29299,3220,1561,369436841,13697,26971,23.27659193819976
4,52797,13606,29819,5890,2036,2034659860,23365,87079,19.145554764756497
2,55031,39898,4314,3837,5738,3662783225,28365,129128,15.051236298969632
35,53115,13088,1734,3261,34268,1136366512,17782,63904,13.492152162844402
21,49625,233,48143,129,542,892256283,18246,48898,16.843307329122528
24,46897,1184,39366,106,5675,519045019,14167,36636,18.741694847261854
13,54601,15997,1318,420,36567,1043145095,16105,64768,11.122678040597354
48,44982,24863,6939,5630,6200,1517842115,21200,71594,12.29990079088544
31,51778,9383,1099,1074,39415,901262597,16153,55793,13.15916860091111
47,60444,45706,1549,3358,8043,3212607085,26065,123252,21.711883214748553
38,57925,36690,912,2471,16967,1553166606,20850,74491,13.82104732544807
33,56861,19804,2262,5245,27797,1481642269,19834,74701,13.325430581827463
30,53268,13652,1022,1549,36128,1021241725,16379,62348,12.024032782188053
34,49602,1024,46892,97,667,884226448,16128,54822,13.410087784609244
28,60398,6493,43747,2435,7064,956512237,19111,50049,27.14116876388605
40,57995,29835,3813,9561,12510,1858709059,23892,77794,13.72313675370516
44,54081,43754,1515,3922,3495,3372455475,28648,117717,20.25798738359163
25,53335,13196,4651,8509,25999,1499748838,20379,73591,14.310677374939324
50,57364,26126,6569,12217,10222,1327440742,18959,70016,10.011210707846864
22,52011,2269,2983,331,46193,617909818,13650,45266,14.69921510060097
41,57690,45705,627,2895,6782,1500715765,23703,63311,13.598083219549418
18,58128,5787,30882,358,20015,1215338392,17896,67907,10.952484199279755
17,46178,896,37741,211,6496,637077519,15592,40857,13.27926422588362
6,49379,603,47218,34,876,789781424,19196,41142,16.894278121656633
5,43401,9720,28201,2660,1690,1212309156,18929,64042,16.376137250897735
43,51636,41356,2476,3149,3110,3917095747,26118,149975,15.302680292699128
8,47525,532,45823,122,601,873212085,18268,47799,15.845832976784074
42,61075,41903,2932,10948,3673,5507963852,37404,147255,10.802382330807577
7,38650,895,35141,26,2051,627987773,15032,41776,11.751155772337444
39,60934,32212,1354,10774,14958,1883368977,21508,87562,13.320095898464249
46,44651,25416,8435,3515,5725,1442132692,18610,77490,9.948805119418353
32,57126,41093,1537,2426,10388,3576534901,24217,147684,22.603001859427486
1,56278,29243,3480,2130,20068,2368913784,23650,100163,21.7644966441181
19,52526,33694,13452,505,3911,1778549086,17504,101605,14.576506294395372
9,50713,1149,46718,149,2163,862953950,18395,46911,18.047933683169298
36,52302,12138,1907,1343,36466,981721493,15608,62896,11.05542166479853
37,51555,734,36003,260,14020,671577051,15517,43279,13.190107001199475
27,62897,22261,26778,3460,8943,2492566549,25640,97210,22.93758553390987
10,53415,9073,13130,85,30916,912793718,17819,51225,15.709954580556293
11,55679,18250,3026,19776,13604,1250634150,20376,61377,18.530853585274215
26,49263,11284,6751,785,29479,986919113,16115,61241,17.223815808699136
45,56815,34695,765,4183,15773,1791311502,21776,82260,13.576075012939752
